slug,market,city,state,market_type,data_complete,total_msv,core_msv,str_msv,oneoff_msv,str_share_pct,weighted_cpc_usd,competition_index,maps_rank_general,maps_rank_str,gbp_rating,gbp_reviews,gbp_title,pack_median_reviews,pack_max_reviews,pack_avg_rating,strong_competitors_20,organic_rank_city_term,serp_has_local_pack,serp_has_paid,serp_item_types,score_demand,score_commercial_value,score_str_wedge,score_competitive_headroom,score_visibility_gap,score_review_deficit,score_potential,score_headroom,opportunity_score,uncaptured_msv,status,model_cpl_usd
mckinney,McKinney,McKinney,TX,territory,True,510,410,20,80,3.9,13.79,52,,,,,,161,544,4.62,4,,True,False,ai_overview|local_pack|organic|people_also_ask|related_searches,44.1,22.3,19.5,68.4,100.0,100.0,30.2,87.4,26.4,510,LAUNCH,137.9
alexandria,Alexandria,Alexandria,VA,territory,True,400,300,20,80,5.0,13.17,43.9,,,,,,59,228,4.7,2,,True,False,local_pack|organic|people_also_ask|related_searches,38.3,20.1,25.0,89.6,100.0,100.0,26.4,95.8,25.3,400,LAUNCH,131.7
durham,Durham,Durham,NC,territory,True,400,300,20,80,5.0,11.48,32.9,,,,,,31,243,4.88,3,,True,False,local_pack|organic|people_also_ask|related_searches,38.3,14.0,25.0,95.4,100.0,100.0,25.8,98.2,25.3,400,LAUNCH,114.8
richmond,Richmond,Richmond,VA,territory,True,460,350,20,90,4.3,13.94,40.6,,,,,,213,252,4.84,8,,True,False,local_pack|organic|people_also_ask|perspectives|related_searches,41.7,22.9,21.5,57.6,100.0,100.0,28.7,83.0,23.8,460,LAUNCH,139.4
katy,Katy,Katy,TX,territory,True,360,280,20,60,5.6,11.06,37.7,,,,,,154,194,4.96,3,,True,False,local_pack|people_also_ask|organic|related_searches,35.8,12.5,28.0,69.9,100.0,100.0,24.1,87.9,21.2,360,LAUNCH,110.6
northatlanta,North Atlanta,Alpharetta,GA,territory,True,270,210,20,40,7.4,22.82,39.4,,20,4.9,68,MaidThis Cleaning of North Atlanta,146,217,4.63,5,,True,False,local_pack|people_also_ask|organic|related_searches,29.0,54.8,37.0,71.5,100.0,94.5,23.0,87.8,20.2,270,LAUNCH,228.2
spring,Spring,Spring,TX,territory,True,370,270,20,80,5.4,12.74,44.5,,,,,,302,468,4.72,7,,False,False,organic|people_also_ask|related_searches,36.5,18.6,27.0,39.1,100.0,100.0,25.1,75.6,18.9,370,LAUNCH,127.4
cincinnati,Cincinnati,Cincinnati,OH,territory,True,680,520,20,140,2.9,16.98,33.8,1,1,4.6,156,MaidThis Cleaning of Cincinnati,97,512,4.5,3,,True,False,ai_overview|local_pack|organic|people_also_ask|perspectives|related_searches,51.0,33.8,14.5,81.7,15.0,87.3,36.0,52.5,18.9,102,DEFEND,169.8
st-petersburg-clearwater,St. Petersburg / Clearwater,St. Petersburg,FL,territory,True,470,360,20,90,4.3,20.89,25.6,2,2,4.8,81,MaidThis Cleaning of St Petersburg-Clearwater,33,855,4.88,3,,True,False,ai_overview|local_pack|organic|people_also_ask|related_searches,42.2,47.9,21.5,95.0,15.0,93.4,31.7,58.8,18.6,70,GROW,208.9
saltlakecity,Salt Lake City,Salt Lake City,UT,territory,True,590,470,20,100,3.4,15.76,49.2,3,1,4.9,127,MaidThis Cleaning of Salt Lake City,92,420,4.84,7,,True,False,local_pack|organic|people_also_ask|related_searches,47.6,29.4,17.0,82.7,15.0,89.7,33.3,53.3,17.7,88,DEFEND,157.6
columbia,Columbia,Columbia,SC,territory,True,300,230,20,50,6.7,8.93,24.5,,,,,,208,541,4.88,4,,True,False,local_pack|organic|people_also_ask|perspectives|related_searches,31.5,4.9,33.5,58.6,100.0,100.0,20.9,83.5,17.4,300,LAUNCH,89.3
west-palm-beach,West Palm Beach,West Palm Beach,FL,territory,True,500,420,20,60,4.0,19.79,33.4,2,2,4.9,629,MaidThis Cleaning West Palm Beach,30,629,4.7,2,,True,False,local_pack|people_also_ask|organic|related_searches,43.6,43.9,20.0,95.6,15.0,48.8,32.3,52.3,16.9,75,DEFEND,197.9
cape-coral,Cape Coral,Cape Coral,FL,territory,True,270,200,20,50,7.4,13.0,29.7,6,4,5,38,MaidThis Cleaning of Cape Coral - Fort Myers,64,272,4.76,3,,True,False,local_pack|people_also_ask|organic|related_searches,29.0,19.5,37.0,88.6,60.0,96.9,20.4,77.0,15.7,162,GROW,130.0
wilmington,Wilmington,Wilmington,NC,territory,True,230,160,20,50,8.7,17.64,49.9,,,,,,267,781,4.74,8,,True,False,local_pack|organic|people_also_ask|discussions_and_forums|related_searches,25.1,36.2,43.5,46.4,100.0,100.0,19.0,78.5,14.9,230,LAUNCH,176.4
